rule,feat,side,tail,q,thr,n_veto,t,dPnL,yrs_up,plateau,p_fwer
clv_s hi 15%,clv_s,all,hi,0.15,0.37898425756016796,1214,-0.0932841028658825,-225.39999999997963,4,2,1.0
clv_s hi 20%,clv_s,all,hi,0.2,0.33327659501446394,1619,-0.20076860222557052,-628.6449999999822,3,2,1.0
clv_s hi 25%,clv_s,all,hi,0.25,0.2878782359021569,2023,-0.0001275802964761521,-0.45499999997991836,3,2,1.0
clv_s hi 30%,clv_s,all,hi,0.3,0.2411600885976527,2428,-0.9022285525477474,-3521.024999999987,2,2,1.0
clv3_s lo 5%,clv3_s,all,lo,0.05,-0.2684792267113667,405,-0.5172551452865668,-821.494999999999,2,0,1.0
clv3_s lo 10%,clv3_s,all,lo,0.1,-0.20766604523754575,810,-0.5798531940254564,-1281.034999999989,2,0,1.0
clv3_s lo 15%,clv3_s,all,lo,0.15,-0.1664917420113206,1214,-0.6672847253764213,-1775.6649999999863,2,0,1.0
clv3_s lo 20%,clv3_s,all,lo,0.2,-0.13252444978757688,1619,-1.3519189173188302,-4384.689999999988,2,0,1.0
clv3_s lo 25%,clv3_s,all,lo,0.25,-0.10353997864545325,2023,-1.3564560351804213,-5189.904999999984,1,0,1.0
clv3_s lo 30%,clv3_s,all,lo,0.3,-0.07674744327500532,2428,-1.4502156029784625,-6149.164999999979,1,0,1.0
clv3_s hi 5%,clv3_s,all,hi,0.05,0.3014284360354204,405,-0.1185925875718446,-170.9300000000003,4,0,1.0
clv3_s hi 10%,clv3_s,all,hi,0.1,0.24315143720859983,810,-0.9641667462340698,-2148.805000000004,2,0,1.0
clv3_s hi 15%,clv3_s,all,hi,0.15,0.19899449510362807,1214,-1.6619782440300668,-4345.434999999994,0,0,1.0
clv3_s hi 20%,clv3_s,all,hi,0.2,0.16642422447830973,1619,-2.117590238917402,-6841.354999999996,0,0,1.0
